pid,fid12,cfps2012_age,cfps2012_gender,qe104,qq301,qz202,sw1r,kr1ckp4
370742102,370742,不适用,不适用,在婚（有配偶）,,,文盲/半文盲,
370727101,370727,不适用,不适用,在婚（有配偶）,,,小学,
110013103,110013,18,男,未婚,否,6,,不适用
110108104,110108,28,女,在婚（有配偶）,否,7,,不适用
110108101,110108,54,女,在婚（有配偶）,否,6,,不适用
110104102,110104,54,男,在婚（有配偶）,否,6,,不适用
110013102,110013,40,女,在婚（有配偶）,否,6,,不适用
110092103,110092,53,男,在婚（有配偶）,是,6,,不适用
110020106,222320,36,女,在婚（有配偶）,否,7,,不适用
110011101,110011,39,女,在婚（有配偶）,否,6,,不适用
110009105,110009,28,男,未婚,是,6,,不适用
110113103,110113,32,男,在婚（有配偶）,是,6,,不适用
110009101,110009,79,女,丧偶,否,6,,不适用
110107102,110107,52,男,在婚（有配偶）,是,6,,不适用
110100104,110100,17,男,未婚,否,6,,不适用
110113102,110113,59,男,在婚（有配偶）,是,6,,不适用
110020102,110020,72,男,在婚（有配偶）,是,6,,不适用
110002101,110002,47,男,在婚（有配偶）,否,5,,不适用
110105101,110105,30,男,在婚（有配偶）,否,7,,不适用
110111102,110111,59,男,在婚（有配偶）,否,7,,不适用
110108102,110108,54,男,在婚（有配偶）,是,6,,不适用
110092102,110092,74,女,丧偶,否,3,,不适用
110006101,110006,52,男,在婚（有配偶）,是,6,,不适用
110020105,110020,42,女,在婚（有配偶）,否,6,,不适用
110020104,222320,38,男,在婚（有配偶）,是,6,,不适用
110105102,110105,27,女,在婚（有配偶）,否,7,,不适用
110142101,110142,87,男,丧偶,是,5,,不适用
110013101,110013,41,男,在婚（有配偶）,否,6,,不适用
110022101,110022,34,女,在婚（有配偶）,否,6,,不适用
110111103,110111,31,女,未婚,否,7,,不适用
110104101,110104,52,女,在婚（有配偶）,是,6,,不适用
110003102,110003,37,女,在婚（有配偶）,否,6,,不适用
110107101,110107,50,女,在婚（有配偶）,否,5,,不适用
110015107,110015,24,男,在婚（有配偶）,否,6,,不适用
110009107,110009,23,男,未婚,否,6,,不适用
110129101,110129,31,男,在婚（有配偶）,否,6,,不适用
110015101,110015,46,女,在婚（有配偶）,否,6,,不适用
110108103,110108,29,男,在婚（有配偶）,否,7,,不适用
110021101,110021,77,男,在婚（有配偶）,是,6,,不适用
110132101,110132,61,女,离婚,是,6,,不适用
110021102,110021,72,女,在婚（有配偶）,否,6,,不适用
110015104,110015,47,男,在婚（有配偶）,是,5,,不适用
110006102,110006,50,女,在婚（有配偶）,否,6,,不适用
110003101,110003,41,男,在婚（有配偶）,是,7,,不适用
110148101,110148,74,女,丧偶,否,6,,不适用
110129102,110129,34,女,在婚（有配偶）,否,6,,不适用
110020103,110020,44,男,在婚（有配偶）,是,6,,不适用
110102101,110102,81,女,丧偶,否,5,,不适用
110111101,110111,59,女,在婚（有配偶）,否,7,,不适用
110009106,110009,60,男,在婚（有配偶）,否,6,,不适用
110022102,110022,36,男,在婚（有配偶）,否,7,,不适用
110092104,110092,49,女,在婚（有配偶）,否,5,,不适用
110011102,110011,44,男,在婚（有配偶）,是,6,,不适用
110020101,110020,67,女,在婚（有配偶）,否,6,,不适用
110009104,110009,54,女,在婚（有配偶）,否,6,,不适用
110009102,110009,55,男,在婚（有配偶）,是,6,,不适用
110113101,110113,58,女,在婚（有配偶）,否,6,,不适用
110107103,110107,25,男,未婚,是,7,,不适用
110038103,110038,78,女,在婚（有配偶）,否,6,,不适用
110040431,110040,22,女,同居,否,6,,不适用
110041102,110041,47,男,在婚（有配偶）,否,6,,不适用
110042102,110042,54,女,在婚（有配偶）,否,5,,不适用
110023431,110023,67,男,在婚（有配偶）,是,5,,不适用
110035101,110035,59,女,在婚（有配偶）,否,6,,不适用
110033105,110033,18,男,未婚,否,6,,不适用
110125102,110125,58,男,在婚（有配偶）,是,6,,不适用
110124101,110124,32,男,在婚（有配偶）,否,6,,不适用
110120103,110120,28,男,在婚（有配偶）,否,6,,不适用
110114103,110114,16,女,未婚,否,6,,初中
110114102,110114,56,女,在婚（有配偶）,否,6,,不适用
110165101,110165,40,女,在婚（有配偶）,否,6,,不适用
110040103,110040,21,男,同居,否,6,,不适用
110040101,110040,41,男,在婚（有配偶）,否,4,,不适用
110160103,110160,27,男,未婚,是,6,,不适用
110030101,110030,62,男,同居,是,5,,不适用
110031102,110031,53,男,在婚（有配偶）,否,6,,不适用
110126103,110126,30,男,在婚（有配偶）,否,6,,不适用
110125103,110125,79,女,丧偶,否,4,,不适用
110160101,110160,54,男,在婚（有配偶）,是,6,,不适用
110120104,110120,27,女,在婚（有配偶）,否,6,,不适用
110038104,110038,55,女,在婚（有配偶）,是,6,,不适用
110033101,110033,47,男,在婚（有配偶）,否,6,,不适用
110035103,110035,82,女,丧偶,否,5,,不适用
110031101,110031,53,女,在婚（有配偶）,否,6,,不适用
110123102,110123,75,女,在婚（有配偶）,否,6,,不适用
110160102,110160,55,女,在婚（有配偶）,否,6,,不适用
110120101,110120,52,女,在婚（有配偶）,否,6,,不适用
110119101,110119,68,女,未婚,否,4,,不适用
110024102,110024,76,男,在婚（有配偶）,否,6,,不适用
110042101,110042,58,男,在婚（有配偶）,是,5,,不适用
110126101,110126,59,男,在婚（有配偶）,否,6,,不适用
110035102,110035,59,男,在婚（有配偶）,否,6,,不适用
110023101,110023,36,男,未婚,否,6,,不适用
110150102,110150,27,女,在婚（有配偶）,否,6,,不适用
110116101,110116,56,女,在婚（有配偶）,否,6,,不适用
110123101,110123,79,男,在婚（有配偶）,否,6,,不适用
110121102,110121,56,女,在婚（有配偶）,否,6,,不适用
110033104,110033,44,女,在婚（有配偶）,否,6,,不适用
110038101,110038,59,男,在婚（有配偶）,否,6,,不适用
110024101,110024,76,女,在婚（有配偶）,否,6,,不适用
110150101,110150,27,男,在婚（有配偶）,否,6,,不适用
110026104,110026,68,女,丧偶,否,4,,不适用
110031103,110031,20,男,未婚,否,7,,不适用
110033103,110033,74,女,在婚（有配偶）,否,3,,不适用
110165102,110165,42,男,在婚（有配偶）,否,6,,不适用
110124102,110124,28,女,在婚（有配偶）,否,6,,不适用
110040102,110040,39,女,在婚（有配偶）,否,5,,不适用
110042103,110042,29,男,未婚,否,6,,不适用
110026101,110026,35,女,在婚（有配偶）,否,6,,不适用
