fid12,tb1b_a_p
100453,0
430111,不适用
100453,31
105179,48
105179,47
105179,23
108640,0
110002,47
110002,43
110002,18
110003,41
110003,37
110003,15
110006,52
110006,50
110006,22
110009,79
110009,55
110009,57
110009,54
110009,28
110009,60
110009,23
110011,39
110011,44
110011,13
110011,11
110011,6
110013,41
110013,40
110013,18
110015,46
110015,75
110015,53
110015,47
110015,50
110015,26
110015,24
110020,67
110020,72
110020,44
110020,38
222320,38
110020,42
110020,36
222320,36
110020,11
110020,6
110021,77
110021,72
110022,34
110022,36
110022,11
110022,3
110023,36
110023,67
110024,76
110024,76
110026,35
110026,39
110026,7
110026,68
110027,74
110027,75
110030,62
110030,64
110031,53
110031,53
110031,20
110033,47
110033,76
110033,74
110033,44
110033,18
110035,59
110035,59
110035,82
110038,59
110038,81
110038,78
110038,55
110040,41
110040,39
110040,21
110040,22
110041,44
110041,47
110041,11
110042,58
110042,54
110042,29
110043,52
110043,39
110043,27
110043,10
110043,86
110043,38
110043,18
110045,80
110047,56
110047,35
110047,9
110047,23
110050,81
110050,31
110050,32
110051,51
110051,80
110051,52
110051,25
110052,52
110052,73
110052,53
110052,26
110052,24
110056,不适用
110056,84
110056,不适用
110056,不适用
110057,62
110057,63
110059,26
110060,65
110060,62
110060,32
110061,81
110061,52
110061,17
110062,54
110062,53
110063,81
110063,18
110064,32
110064,28
110066,67
110066,69
110066,45
110067,26
110068,26
110069,61
110069,62
110069,33
110070,60
110070,64
110071,62
110071,65
110071,3
110073,79
110074,64
110074,62
110076,52
110077,45
110077,42
110077,17
110078,43
110078,73
110078,73
110078,38
110078,13
110078,24
110079,44
110079,39
110079,12
110081,60
110081,57
110081,31
110081,83
110083,63
110083,62
110083,34
110083,33
110083,1
110084,54
110084,54
110084,25
110092,不适用
110092,74
110092,53
110092,49
110092,10
110099,34
110099,31
110099,8
110100,43
110100,41
110100,21
110100,17
110102,81
110104,52
110104,54
110105,30
110105,27
110107,50
110107,52
110107,25
110108,54
110108,54
110108,29
110108,28
110111,59
110111,59
110111,31
110113,58
110113,59
110113,32
110113,不适用
110114,59
110114,56
110114,16
110116,56
110116,58
110119,68
110120,52
110120,53
110120,28
110120,27
110121,93
110121,56
110123,79
110123,75
110124,32
110124,28
110124,1
110125,59
110125,58
110125,79
110126,59
110126,59
110126,30
110129,31
110129,34
110132,61
110142,87
110142,不适用
110147,30
110147,30
110147,29
110148,74
110150,27
110150,27
110160,54
110160,55
110160,27
110165,40
110165,42
110165,13
110236,27
114900,22
115788,0
115788,不适用
117321,1
117321,26
118291,1
120001,33
120001,37
120001,8
120001,0
120004,66
120004,65
120007,32
120007,35
120007,6
120008,48
120008,47
120008,24
120009,48
120009,21
120009,11
120009,39
120012,32
120012,31
120012,6
120013,35
120013,67
120013,66
120013,10
120013,34
120016,26
120016,26
120016,5
120016,2
120016,50
120016,49
120018,32
120018,9
120020,48
120020,47
120020,22
120022,29
120022,31
120022,3
120022,53
120024,36
221399,36
120024,42
221399,42
120024,64
120024,65
120024,5
221399,5
120026,40
120026,40
120026,15
120027,63
120027,63
120029,29
120029,32
120029,4
120031,54
120031,55
120031,23
120032,31
120032,36
120032,8
120033,59
120033,58
120033,22
120034,57
120034,30
120034,24
120034,55
120035,40
120035,35
120035,13
120036,72
120036,69
120038,33
120038,32
120038,5
120039,29
120039,30
120039,3
120039,52
120040,34
120040,33
120040,9
120040,60
120046,56
120046,56
120046,22
120046,23
120050,46
120050,41
120050,19
120051,53
120051,54
120051,17
120052,39
120052,77
120052,39
120052,17
120056,42
120056,45
120056,21
120057,44
120057,42
120057,19
120058,50
120058,50
120058,14
120063,32
120063,34
120063,8
120065,76
120065,79
120067,53
120067,54
120067,17
120068,54
120071,37
120071,39
120071,13
120072,40
120072,33
120072,11
120072,3
120073,59
120073,58
120074,59
120074,60
120075,59
120075,60
120076,67
120076,不适用
120076,63
120076,33
120076,34
120076,7
120077,48
120077,49
120077,22
120078,69
120078,69
120078,30
120078,30
120078,8
120079,61
120079,64
120079,39
120079,16
120080,49
120080,47
120080,25
120080,23
120080,1
120080,22
120081,77
120081,45
120081,44
120081,21
120081,5
120081,不适用
120082,30
120082,60
120082,54
120082,31
120082,9
120082,4
120086,35
120086,62
120086,35
120086,13
120086,4
120087,21
120087,54
120087,55
120088,28
120088,59
120088,27
120088,61
120088,5
120088,3
120089,24
120089,56
120089,54
120090,46
120090,45
120090,22
120090,18
120091,52
120091,54
120091,19
120092,49
120092,49
120092,26
120092,23
120093,38
120093,38
120093,65
120093,66
120093,14
120093,3
120094,66
120094,63
120094,18
120095,34
120095,33
120095,11
120095,1
120096,60
120096,59
120096,32
120096,31
120096,10
120096,5
120097,24
120097,46
120097,47
120097,75
120097,74
120097,0
120097,24
120099,25
773240,25
120099,不适用
120099,56
120100,48
120100,48
120100,23
120100,22
120100,15
120100,2
120101,37
120101,36
120101,15
120101,5
120102,54
120102,62
120102,25
120102,0
120102,22
120103,32
120103,60
120103,34
120103,60
120103,10
120103,1
120104,58
120104,不适用
120104,32
120104,30
120104,1
120107,47
120107,47
120107,24
120108,不适用
120108,41
120108,35
120108,3
120109,26
120109,54
120109,53
120110,52
120110,53
120110,29
693086,29
120110,27
693086,26
120110,3
693086,3
120111,50
120111,27
721632,27
120111,49
120113,57
120113,57
120113,21
120116,16
120116,49
120116,48
120125,56
120125,30
120125,25
120125,2
120126,69
120126,74
120129,43
120129,44
120129,19
120130,49
120130,51
120130,25
120131,40
120131,42
120131,12
120133,78
120137,79
120952,不适用
120952,4
122426,39
122988,不适用
420308,不适用
122988,不适用
122988,不适用
122988,不适用
122988,不适用
122988,不适用
126788,1
126788,不适用
129789,不适用
520181,不适用
130001,57
130001,56
130001,32
130001,40
130001,4
130002,43
130002,9
130002,22
130004,38
130004,39
130004,13
130005,62
130005,58
130005,34
130005,7
130006,55
130006,62
130006,33
130006,34
130006,10
130006,0
130007,52
130007,52
130007,28
130007,26
130008,50
130008,52
130008,25
130008,25
130009,47
130009,69
130009,48
130009,27
130009,23
130010,44
130010,24
130010,27
130010,83
130010,79
130011,58
