pid,fid14,cfps_birthy,cfps2012_marriage,cfps_gender,te4,qq301,qz202,pw1r
441876105,291078,1987,在婚（有配偶）,女,初中,,,不适用
140093104,140093,1992,未婚,男,不适用,,,不适用
130510104,130510,1987,没有数据,男,初中,,,高中/中专/技校/职高
130724103,130724,1994,未婚,女,不适用,否,6,不适用
110051102,110051,1932,丧偶,女,不适用,,,不适用
130724101,130724,1971,在婚（有配偶）,女,不适用,否,7,不适用
130886101,413703,1983,在婚（有配偶）,男,不适用,是,7,不适用
110043105,110043,1926,没有数据,女,不适用,,,文盲/半文盲
140628103,140628,1975,在婚（有配偶）,男,不适用,否,6,不适用
140642104,140642,1994,未婚,男,初中,,,不适用
430498105,430498,1991,没有数据,男,初中,,,初中
140628104,140628,1976,在婚（有配偶）,女,不适用,否,6,不适用
411430431,411430,1928,丧偶,女,文盲/半文盲,,,不适用
140343103,278843,1991,未婚,女,不适用,,,大学本科
140628105,140628,1998,没有数据,男,不适用,否,7,不适用
140642103,140642,1994,未婚,男,不适用,否,7,不适用
411430104,411430,1994,未婚,女,初中,,,不适用
370760103,247886,1986,未婚,男,不适用,,,不适用
130351102,130351,1981,在婚（有配偶）,男,小学,,,不适用
140652104,259867,1995,未婚,男,不适用,否,7,不适用
411637101,411637,1928,没有数据,男,不适用,,,大学本科
411624102,411624,1935,在婚（有配偶）,男,不适用,,,不适用
411614102,411614,1983,没有数据,女,不适用,,,文盲/半文盲
110125103,110125,1933,丧偶,女,文盲/半文盲,,,不适用
110013103,110013,1994,未婚,男,大专,,,不适用
411747103,229905,1987,在婚（有配偶）,男,不适用,,,不适用
411747104,229905,1987,在婚（有配偶）,女,不适用,,,不适用
340294431,340294,1976,在婚（有配偶）,女,初中,,,不适用
620259103,620259,1987,未婚,男,大学本科,,,不适用
610045103,522684,1989,没有数据,女,初中,,,初中
411751105,189605,1998,没有数据,女,不适用,,,不适用
410501102,410501,1957,在婚（有配偶）,男,不适用,否,4,不适用
410488103,410488,1970,没有数据,男,不适用,否,6,高中/中专/技校/职高
410549102,410549,1965,在婚（有配偶）,男,不适用,,,不适用
410500101,410500,1963,在婚（有配偶）,男,不适用,,,不适用
410548101,129111,1977,在婚（有配偶）,男,不适用,否,7,不适用
410568104,410568,1936,在婚（有配偶）,男,不适用,,,不适用
410500431,410500,1993,在婚（有配偶）,女,初中,,,不适用
410538105,267691,1990,没有数据,男,不适用,否,5,不适用
410500103,410500,1991,在婚（有配偶）,男,不适用,,,不适用
410507102,169086,1985,在婚（有配偶）,男,不适用,否,7,不适用
410538101,267691,1964,在婚（有配偶）,女,不适用,否,7,不适用
410508103,410508,1986,未婚,女,不适用,,,不适用
410501103,410501,1979,离婚,男,高中/中专/技校/职高,,,不适用
610329103,610329,1986,没有数据,男,小学,,,小学
410544104,149820,1992,未婚,男,不适用,否,7,不适用
410496103,410496,1991,未婚,男,大专,,,大专
530193103,530193,1991,在婚（有配偶）,女,高中/中专/技校/职高,,,不适用
610058104,610058,1985,未婚,男,初中,,,不适用
220235102,220235,1971,没有数据,男,高中/中专/技校/职高,,,高中/中专/技校/职高
410505103,410505,1985,在婚（有配偶）,男,不适用,,,不适用
410761103,410761,1995,未婚,男,大学本科,,,不适用
410773102,410773,1958,在婚（有配偶）,男,不适用,,,不适用
410757102,410757,1967,在婚（有配偶）,男,初中,,,不适用
410773103,410773,1960,在婚（有配偶）,女,不适用,,,不适用
130431103,130431,1994,未婚,男,不适用,否,5,不适用
621457103,158237,1993,未婚,男,高中/中专/技校/职高,,,高中/中专/技校/职高
210916101,210916,1956,没有数据,男,小学,,,小学
211342102,211342,1958,没有数据,男,初中,,,小学
220007105,220007,1994,没有数据,女,大专,,,不适用
510616104,510616,1982,在婚（有配偶）,男,不适用,是,6,不适用
130312103,130312,1991,未婚,男,大学本科,,,大学本科
130299106,100569,1945,在婚（有配偶）,女,不适用,否,3,不适用
130299105,100569,1942,在婚（有配偶）,男,不适用,否,1,不适用
130313103,130313,1992,未婚,女,不适用,,,不适用
130649103,130649,1967,在婚（有配偶）,男,不适用,否,7,不适用
130664104,140983,1997,没有数据,女,不适用,否,5,初中
130654103,140974,1971,在婚（有配偶）,男,不适用,是,4,不适用
130273102,130273,1953,在婚（有配偶）,女,初中,,,不适用
130645101,120269,1956,在婚（有配偶）,女,不适用,否,3,不适用
130644104,198944,1990,未婚,女,不适用,否,4,不适用
130292105,130292,1990,未婚,男,大学本科,,,不适用
130281103,100551,1988,未婚,男,不适用,否,7,不适用
130649105,2781941,1991,未婚,男,不适用,否,6,不适用
130654104,140974,1974,在婚（有配偶）,女,不适用,否,3,不适用
130657103,119227,1973,在婚（有配偶）,男,不适用,,,不适用
130649104,130649,1966,在婚（有配偶）,女,不适用,否,6,不适用
130807103,130807,1983,没有数据,男,初中,,,初中
130811103,130811,1990,未婚,男,不适用,,,不适用
130937101,130937,1973,在婚（有配偶）,女,不适用,否,7,不适用
130721106,404700,1996,未婚,女,初中,,,不适用
130703104,198996,1983,在婚（有配偶）,男,不适用,,,不适用
130721105,267159,1991,未婚,男,不适用,否,4,大专
130717102,130717,1982,在婚（有配偶）,男,不适用,,,不适用
130698103,130698,1989,未婚,男,高中/中专/技校/职高,,,不适用
130935105,130935,1990,在婚（有配偶）,男,初中,,,不适用
130716104,130716,1992,未婚,男,初中,,,不适用
130716103,130716,1990,未婚,男,高中/中专/技校/职高,,,不适用
130721103,141038,1982,在婚（有配偶）,男,不适用,否,5,不适用
130909104,130909,1997,没有数据,男,初中,,,不适用
130909103,130909,1997,没有数据,女,不适用,否,7,不适用
130879103,130879,1986,未婚,男,小学,,,不适用
130925103,130925,1991,未婚,女,大专,,,不适用
130923104,130923,1983,在婚（有配偶）,女,小学,,,不适用
130755103,130755,1990,未婚,男,不适用,否,7,大学本科
130789101,130789,1957,在婚（有配偶）,男,不适用,,,不适用
130775101,130775,1974,在婚（有配偶）,女,初中,,,不适用
130774103,130774,1996,未婚,女,初中,,,不适用
130775102,130775,1973,在婚（有配偶）,男,小学,,,不适用
130782102,130782,1970,没有数据,男,初中,,,不适用
130766103,130766,1993,未婚,男,不适用,,,不适用
130673102,130673,1968,在婚（有配偶）,男,不适用,否,5,不适用
130672103,130672,1993,没有数据,女,不适用,,,不适用
130689104,130689,1987,在婚（有配偶）,女,初中,,,不适用
130672102,130672,1969,不适用,男,不适用,,,不适用
130673103,198969,1993,没有数据,女,不适用,,,初中
130671103,130671,1990,没有数据,男,不适用,,,小学
130689103,130689,1988,在婚（有配偶）,男,初中,,,不适用
130682103,130682,1986,在婚（有配偶）,男,小学,,,不适用
130682104,160349,1988,没有数据,男,不适用,,,小学
130674103,130674,1990,没有数据,男,小学,,,小学
130507103,130507,1988,没有数据,女,大专,,,大专
130856101,130856,1971,在婚（有配偶）,男,初中,,,不适用
130849103,130849,1992,未婚,女,不适用,否,7,不适用
130345103,130345,1992,未婚,男,不适用,,,不适用
130339103,130339,1992,未婚,女,高中/中专/技校/职高,,,不适用
130853103,130853,1995,没有数据,女,初中,,,小学
130872104,141189,1988,在婚（有配偶）,女,初中,,,不适用
130515103,130515,1966,在婚（有配偶）,女,不适用,否,5,不适用
130336104,130336,1974,在婚（有配偶）,女,小学,,,不适用
130851103,130851,1983,没有数据,男,大专,,,大专
120129103,120129,1993,未婚,女,大学本科,,,不适用
130502102,130502,1961,没有数据,男,不适用,否,5,初中
130507104,130507,1992,没有数据,男,高中/中专/技校/职高,,,高中/中专/技校/职高
130855101,141168,1964,在婚（有配偶）,男,不适用,否,5,不适用
130500102,219469,1981,在婚（有配偶）,男,不适用,,,不适用
130336103,130336,1974,在婚（有配偶）,男,小学,,,不适用
140668105,101797,1985,在婚（有配偶）,男,不适用,否,7,不适用
130850431,130850,1989,未婚,男,初中,,,不适用
130853104,130853,1997,没有数据,男,初中,,,不适用
130872102,130872,1980,在婚（有配偶）,男,不适用,,,不适用
130859101,130859,1960,在婚（有配偶）,男,初中,,,不适用
120104104,120104,1982,在婚（有配偶）,女,不适用,否,6,不适用
130328102,130328,1997,没有数据,女,初中,,,不适用
130859104,160521,1988,未婚,男,小学,,,不适用
130350102,130350,1978,在婚（有配偶）,男,初中,,,不适用
140520103,140520,1995,没有数据,男,小学,,,小学
140193105,488944,1995,未婚,男,不适用,否,7,不适用
120090104,120090,1994,未婚,男,不适用,,,不适用
130853102,130853,1957,在婚（有配偶）,男,不适用,否,5,不适用
130635108,1796152,1975,在婚（有配偶）,女,不适用,否,4,不适用
130148102,130148,1989,未婚,男,不适用,是,7,不适用
130633104,179613,1989,没有数据,女,不适用,否,7,不适用
130609103,179590,1978,离婚,男,不适用,否,7,不适用
130610431,198912,1991,在婚（有配偶）,女,不适用,,,不适用
