pid,fid16,cfps_age,cfps_gender,qea0,qq301,qz202,cfps2016edu
230384101,230384,52,女,在婚（有配偶）,否,7,大专
230052102,230052,45,女,在婚（有配偶）,否,6,高中/中专/技校/职高
230364103,230364,22,女,未婚,否,7,大学本科
230385431,230385,52,女,丧偶,否,6,初中
230045101,230045,31,女,在婚（有配偶）,否,7,初中
211372101,211372,58,男,在婚（有配偶）,否,7,初中
230375101,230375,44,女,在婚（有配偶）,否,6,高中/中专/技校/职高
211391101,211391,54,女,丧偶,否,7,文盲/半文盲
230376101,230376,83,男,在婚（有配偶）,否,6,小学
230052103,230052,16,男,未婚,否,6,初中
230037101,230037,55,女,在婚（有配偶）,否,7,大专
211387101,211387,69,女,在婚（有配偶）,否,3,文盲/半文盲
230364431,230364,76,男,丧偶,否,4,高中/中专/技校/职高
220344102,220344,60,男,在婚（有配偶）,否,不适用,文盲/半文盲
230035101,230035,37,女,在婚（有配偶）,否,6,初中
230054101,230054,38,女,在婚（有配偶）,否,6,小学
211369101,211369,52,男,在婚（有配偶）,是,7,小学
211926104,401457,54,女,在婚（有配偶）,否,7,小学
230394101,138434,43,女,在婚（有配偶）,否,5,文盲/半文盲
210208101,210208,32,男,离婚,否,7,高中/中专/技校/职高
230046101,230046,51,女,在婚（有配偶）,否,6,初中
211376102,211376,34,男,同居,否,7,初中
210261101,210261,79,男,在婚（有配偶）,否,7,初中
211937103,546249,62,男,在婚（有配偶）,是,7,小学
230394433,138434,16,男,未婚,否,7,高中/中专/技校/职高
220362103,220362,57,男,在婚（有配偶）,是,不适用,高中/中专/技校/职高
211373101,211373,61,女,在婚（有配偶）,否,7,文盲/半文盲
230389101,230389,46,女,离婚,否,7,初中
211914101,211914,46,男,在婚（有配偶）,否,7,小学
211380102,211380,60,女,在婚（有配偶）,否,7,高中/中专/技校/职高
230054104,230054,37,男,在婚（有配偶）,是,6,小学
211391102,211391,31,男,未婚,否,7,小学
230396101,230396,58,女,在婚（有配偶）,否,6,文盲/半文盲
230392431,230392,31,女,在婚（有配偶）,否,6,初中
230379101,230379,70,男,丧偶,否,6,初中
230373102,230373,56,男,在婚（有配偶）,是,5,文盲/半文盲
230373101,230373,48,女,在婚（有配偶）,否,6,初中
230370102,230370,40,男,在婚（有配偶）,否,7,高中/中专/技校/职高
211939101,211939,76,男,丧偶,是,7,小学
211371102,211371,50,女,在婚（有配偶）,否,5,初中
211917104,211917,58,女,在婚（有配偶）,否,7,文盲/半文盲
211396102,211396,53,男,同居,是,7,文盲/半文盲
230051501,230051,46,女,在婚（有配偶）,否,5,初中
230045102,230045,31,男,在婚（有配偶）,否,6,小学
211383101,211383,60,男,在婚（有配偶）,是,7,初中
230039102,230039,49,男,在婚（有配偶）,是,6,文盲/半文盲
211384105,211384,20,男,未婚,否,7,大专
211389104,211389,38,男,在婚（有配偶）,是,7,小学
230035102,230035,44,男,在婚（有配偶）,是,7,初中
230033102,230033,55,男,在婚（有配偶）,否,6,高中/中专/技校/职高
211930501,211930,22,女,在婚（有配偶）,否,7,初中
211380101,211380,59,男,在婚（有配偶）,是,7,初中
211375105,211375,16,女,未婚,否,7,初中
211383102,211383,58,女,在婚（有配偶）,否,7,文盲/半文盲
211390101,211390,60,女,离婚,是,7,小学
211940104,106601,59,女,在婚（有配偶）,否,7,初中
230048532,230048,75,女,在婚（有配偶）,否,6,文盲/半文盲
211376551,211376,34,女,在婚（有配偶）,否,7,
211913102,211913,51,女,在婚（有配偶）,否,6,小学
211917102,211917,35,男,在婚（有配偶）,否,7,小学
211918101,211918,50,男,离婚,否,7,初中
211923103,810836,47,男,在婚（有配偶）,否,7,文盲/半文盲
211923105,296324,22,男,未婚,否,7,小学
211924102,211924,60,男,在婚（有配偶）,否,7,初中
211927102,211927,68,女,在婚（有配偶）,否,7,小学
211927105,211927,17,女,未婚,否,7,初中
211930102,211930,55,女,在婚（有配偶）,否,7,高中/中专/技校/职高
230048531,230048,76,男,在婚（有配偶）,否,4,小学
211929102,211929,59,女,在婚（有配偶）,否,7,文盲/半文盲
210272103,210272,25,男,未婚,否,7,大学本科
210275101,210275,34,男,在婚（有配偶）,否,7,大学本科
210272101,210272,80,女,丧偶,否,7,小学
210265102,210265,74,女,在婚（有配偶）,否,7,高中/中专/技校/职高
230375102,230375,73,男,在婚（有配偶）,否,6,初中
230376581,230376,40,女,离婚,否,7,初中
211924103,211924,25,男,未婚,,,高中/中专/技校/职高
211916105,211916,22,女,未婚,否,7,大专
210250102,210250,69,女,在婚（有配偶）,否,7,初中
211923104,810836,51,女,在婚（有配偶）,否,7,小学
211396101,211396,52,女,同居,否,7,文盲/半文盲
211927103,211927,42,男,在婚（有配偶）,否,7,文盲/半文盲
210261102,210261,79,女,在婚（有配偶）,否,7,小学
230382103,230382,16,男,未婚,否,7,初中
230383101,230383,45,女,丧偶,否,7,高中/中专/技校/职高
211372102,211372,61,女,在婚（有配偶）,否,6,文盲/半文盲
210250105,210250,17,男,未婚,否,7,初中
230369101,230369,56,女,在婚（有配偶）,否,7,高中/中专/技校/职高
211389101,211389,44,女,在婚（有配偶）,否,7,文盲/半文盲
230039101,230039,48,女,在婚（有配偶）,否,5,文盲/半文盲
230053101,230053,62,女,在婚（有配偶）,否,7,小学
