fid18,tb1y_a_p
100051,1969
100051,1994
100051,1966
100160,1989
100160,1991
100286,1978
100376,1997
100376,1996
100435,2012
100435,1987
100435,1989
100435,2016
100453,1950
100453,1981
100453,1954
100453,2012
100453,1981
100453,2016
100551,2015
100551,1988
100551,1990
100569,1945
100569,1942
100724,2017
100724,1988
100724,2014
100724,1988
100733,1992
100744,1985
100744,1987
100765,1993
100782,2003
100782,1970
100782,1974
100810,1987
100810,2016
100810,2010
100810,1987
100879,1990
100879,1993
100879,2018
100920,1990
101023,2004
101023,1981
101023,2013
101023,1983
101129,1990
101129,1942
101129,1990
101129,1970
101129,2013
101130,1994
101274,1976
101274,1989
101274,2017
101303,1999
101711,2016
101711,1985
101711,2008
101711,1989
101797,2008
101797,1985
101797,1985
101797,1951
101797,1956
102011,2014
102011,1986
102011,1988
102025,1989
102025,1987
102448,1993
102473,1972
102571,1948
102571,1945
102571,1969
102666,1987
102666,2016
102666,1987
102730,2017
102730,1988
102730,1989
102783,1990
102814,1990
102888,2006
102888,1979
102888,1982
102992,1935
103465,1987
103465,1986
103465,2016
103465,2018
103614,1958
103671,2016
103671,1987
103671,1988
103766,1997
103788,2014
103788,1985
103788,1987
103923,1989
103923,1987
103924,1982
103924,2011
103924,1958
103924,1958
103924,1982
104054,1988
104088,1993
104182,1994
104256,1992
104256,1968
104521,1961
104521,2016
104521,1988
104690,1992
105727,1977
105727,2000
105727,1978
105761,1987
105761,1988
106335,2005
106335,1956
106335,1958
106335,1982
106335,1982
106383,1960
106383,1942
106561,1988
106597,1991
106601,1957
106601,1954
106605,1964
106632,2015
106632,1983
106632,1980
106761,2013
106761,1990
106761,1990
106867,2015
106867,1987
106867,1987
106945,1962
106945,1962
106971,2015
106971,1982
106971,1977
107435,2001
107435,1976
107435,1975
107456,1988
107456,1988
107463,1985
107463,1987
107463,2006
107619,1988
107619,2016
107619,2011
107619,1985
107619,2013
107624,1990
107624,1981
107624,2013
107643,1986
107643,1978
107643,2017
107643,2007
107648,2008
107648,1986
107648,1985
107696,1990
107824,2017
107824,2007
107824,1982
107824,1962
107824,1987
107911,1966
107911,1965
108037,1999
108037,2000
108037,1978
108037,1979
108165,1991
108211,2015
108211,2013
108211,2017
108211,1966
108211,1967
108211,1990
108211,1993
108244,1981
108244,2004
108244,2017
108244,1977
108244,2017
108371,2012
108371,1987
108371,1989
108466,1956
108476,2014
108476,1987
108476,1986
108598,1966
108598,1969
108628,2006
108628,1978
108628,1981
108640,1991
108640,2012
108660,1928
108660,1974
108660,1974
108660,2008
108979,1979
108998,2018
108998,1990
108998,1992
109121,1976
109121,1976
109137,2014
109137,1959
109137,2014
109137,1958
109137,1985
109169,1990
109216,2010
109216,1987
109216,1987
109336,1986
109336,1983
109404,1992
109404,1992
109508,1965
109508,1991
109508,1990
109508,1965
109508,2017
109514,1973
109531,2018
109531,1997
109531,1995
109606,2015
109606,1987
109606,1988
109615,2012
109615,1952
109615,2015
109615,1988
109615,1990
109615,1956
109710,1991
109710,1989
109791,2011
109791,1979
109791,1987
109849,1993
109849,1967
109849,1991
109849,1966
109942,2013
109942,1989
109942,1991
109942,1967
109949,1984
109970,1999
109970,1977
109970,1975
110006,1960
110006,1990
110006,1962
110009,1984
110009,1955
110009,1957
110009,1952
110009,1958
110009,1989
110009,1933
110015,1962
110015,1986
110015,1966
110015,1959
110015,1965
110015,2013
110015,1988
110018,2014
110020,2006
110020,1940
110020,1945
110023,1981
110023,1976
110023,1945
110024,2004
110024,1936
