pid,fid18,age,gender_update,qea0,qq301,kz202,cfps2018edu
100051501,100051,49,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
100051502,100051,52,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
100160601,100160,29,男,在婚（有配偶）,否,6,大学本科
100376551,100376,21,女,在婚（有配偶）,否,不适用,初中
100551551,100551,28,女,在婚（有配偶）,否,不适用,大学本科
100724601,100724,30,男,在婚（有配偶）,否,7,高中/中专/技校/职高
100744601,100744,31,女,在婚（有配偶）,否,不适用,大学本科
100810551,100810,31,女,在婚（有配偶）,否,5,小学
101129501,101129,28,女,在婚（有配偶）,否,7,初中
101274551,101274,42,男,在婚（有配偶）,否,不适用,大专
102571551,102571,73,女,在婚（有配偶）,否,2,文盲/半文盲
102571552,102571,70,男,在婚（有配偶）,否,4,小学
102666601,102666,31,男,在婚（有配偶）,否,7,大专
103465551,103465,32,女,在婚（有配偶）,否,不适用,大学本科
103788501,103788,31,女,在婚（有配偶）,否,5,大学本科
103923551,103923,29,女,在婚（有配偶）,否,不适用,初中
103924503,103924,36,,,,,大学本科
104256601,104256,50,女,离婚,是,7,高中/中专/技校/职高
106561501,555780,28,女,在婚（有配偶）,否,不适用,大学本科
107435501,107435,43,女,在婚（有配偶）,否,6,初中
107463551,107463,31,女,在婚（有配偶）,否,7,初中
107619553,107619,33,男,在婚（有配偶）,是,7,初中
107624501,107624,37,男,在婚（有配偶）,是,不适用,初中
108476551,108476,32,男,在婚（有配偶）,否,不适用,大学本科
108598601,108598,49,女,在婚（有配偶）,否,7,高中/中专/技校/职高
108998551,108998,28,女,在婚（有配偶）,否,5,初中
109531601,109531,23,男,在婚（有配偶）,是,不适用,初中
109606501,109606,30,男,在婚（有配偶）,否,不适用,大专
109710551,109710,29,男,在婚（有配偶）,是,7,初中
109849551,109849,27,男,在婚（有配偶）,否,7,大学本科
109849552,109849,51,男,在婚（有配偶）,否,7,大专
109849553,109849,52,女,在婚（有配偶）,否,6,高中/中专/技校/职高
109942551,109942,27,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
110006101,110006,58,男,在婚（有配偶）,是,6,初中
110009101,110009,85,女,丧偶,否,6,文盲/半文盲
110009102,110009,61,男,在婚（有配偶）,是,6,高中/中专/技校/职高
110009103,110009,63,,,,,文盲/半文盲
110009104,110009,60,,,,,高中/中专/技校/职高
110009106,110009,66,男,在婚（有配偶）,否,5,文盲/半文盲
110009107,110009,29,男,未婚,否,5,大学本科
110015101,110015,52,女,在婚（有配偶）,否,5,初中
110015104,110015,53,男,在婚（有配偶）,是,2,高中/中专/技校/职高
110020101,110020,73,女,在婚（有配偶）,否,6,小学
110020102,110020,78,,,,,小学
110020103,500224,50,男,在婚（有配偶）,否,5,高中/中专/技校/职高
110020104,222320,44,男,在婚（有配偶）,是,不适用,高中/中专/技校/职高
