pid,fid14,fid12,cfps2012_latest_edu
441876105,291078,441876,初中
140093104,140093,140093,高中/中专/技校/职高
130510104,130510,130510,不适用
130724103,130724,130724,初中
110051102,110051,110051,文盲/半文盲
130724101,130724,130724,初中
130886101,413703,413703,大学本科
110043105,110043,110043,不适用
140628103,140628,140628,初中
140642104,140642,140642,初中
430498105,430498,430498,不适用
140628104,140628,140628,大专
411430431,411430,411430,文盲/半文盲
140343103,278843,140343,高中/中专/技校/职高
140628105,140628,140628,文盲/半文盲
140642103,140642,140642,高中/中专/技校/职高
411430104,411430,411430,初中
370760103,247886,370760,大学本科
130351102,130351,130351,小学
140652104,259867,140652,初中
411637101,411637,411637,大学本科
411624102,411624,411624,小学
411614102,411614,411614,不适用
110125103,110125,110125,文盲/半文盲
110013103,110013,110013,初中
411747103,229905,411747,高中/中专/技校/职高
411747104,229905,411747,初中
340294431,340294,340294,小学
620259103,620259,620259,大学本科
610045103,522684,522684,不适用
411751105,189605,411751,小学
410501102,410501,410501,小学
410488103,410488,410488,不适用
410549102,410549,410549,初中
410500101,410500,410500,小学
410548101,129111,410548,初中
410568104,410568,410568,文盲/半文盲
410500431,410500,410500,初中
410538105,267691,410538,高中/中专/技校/职高
410500103,410500,410500,小学
410507102,169086,410507,初中
410538101,267691,410538,初中
410508103,410508,410508,大学本科
410501103,410501,410501,高中/中专/技校/职高
610329103,610329,610329,不适用
410544104,149820,410544,初中
410496103,410496,410496,高中/中专/技校/职高
530193103,530193,530193,高中/中专/技校/职高
610058104,610058,610058,初中
220235102,220235,220235,不适用
410505103,410505,410505,初中
410761103,410761,410761,初中
410773102,410773,410773,文盲/半文盲
410757102,410757,410757,初中
410773103,410773,410773,文盲/半文盲
130431103,130431,130431,初中
621457103,158237,621457,初中
210916101,210916,210916,不适用
211342102,211342,211342,不适用
220007105,220007,220007,小学
510616104,510616,510616,初中
130312103,130312,130312,高中/中专/技校/职高
130299106,100569,130299,初中
130299105,100569,130299,初中
130313103,130313,130313,初中
130649103,130649,130649,初中
130664104,140983,130664,小学
130654103,140974,130654,高中/中专/技校/职高
130273102,130273,130273,初中
130645101,120269,130645,小学
130644104,198944,130644,大专
130292105,130292,130292,高中/中专/技校/职高
130281103,100551,130281,大专
130649105,2781941,130649,初中
130654104,140974,130654,小学
130657103,119227,119227,大专
130649104,130649,130649,小学
130807103,130807,130807,不适用
130811103,130811,130811,大专
130937101,130937,130937,小学
130721106,404700,404700,初中
130703104,198996,130703,初中
130721105,267159,404700,高中/中专/技校/职高
130717102,130717,130717,初中
130698103,130698,130698,初中
130935105,130935,130935,小学
130716104,130716,130716,初中
130716103,130716,130716,高中/中专/技校/职高
130721103,141038,130721,大专
130909104,130909,130909,小学
130909103,130909,130909,小学
130879103,130879,130879,小学
130925103,130925,130925,高中/中专/技校/职高
130923104,130923,130923,小学
130755103,130755,130755,高中/中专/技校/职高
130789101,130789,130789,初中
130775101,130775,130775,初中
130774103,130774,130774,初中
130775102,130775,130775,初中
130782102,130782,130782,高中/中专/技校/职高
130766103,130766,130766,初中
130673102,130673,130673,初中
130672103,130672,130672,不适用
130689104,130689,130689,小学
130672102,130672,130672,不适用
130673103,198969,130673,不适用
130671103,130671,130671,不适用
130689103,130689,130689,小学
130682103,130682,130682,文盲/半文盲
130682104,160349,130682,不适用
130674103,130674,130674,不适用
130507103,130507,130507,不适用
130856101,130856,130856,小学
130849103,130849,130849,高中/中专/技校/职高
130345103,130345,130345,小学
130339103,130339,130339,高中/中专/技校/职高
130853103,130853,130853,不适用
130872104,141189,130872,初中
130515103,130515,130515,小学
130336104,130336,130336,小学
130851103,130851,130851,不适用
120129103,120129,120129,大专
130502102,130502,130502,不适用
130507104,130507,130507,不适用
130855101,141168,130855,初中
130500102,219469,130500,大专
130336103,130336,130336,小学
140668105,101797,140668,初中
130850431,130850,130850,初中
130853104,130853,130853,小学
130872102,130872,130872,初中
130859101,130859,130859,文盲/半文盲
120104104,120104,120104,小学
130328102,130328,130328,初中
130859104,160521,130859,初中
130350102,130350,130350,初中
140520103,140520,140520,不适用
140193105,488944,488944,高中/中专/技校/职高
120090104,120090,120090,初中
130853102,130853,130853,文盲/半文盲
130635108,1796152,130635,初中
130148102,130148,130148,初中
130633104,179613,130633,小学
130609103,179590,130609,初中
130610431,198912,130610,小学
130392104,130392,130392,大学本科
130392103,130392,130392,大专
130610103,198912,130610,小学
130612104,130612,130612,初中
130617105,130617,130617,大专
130635107,1796152,130635,初中
130633103,179613,130633,初中
130155103,100435,130155,不适用
130635103,1796151,130635,初中
130155104,130155,130155,高中/中专/技校/职高
130382101,130382,130382,文盲/半文盲
130635104,1796151,130635,高中/中专/技校/职高
130405103,130405,130405,初中
130379102,130379,130379,不适用
130630103,130630,130630,初中
130379103,130379,130379,不适用
130630104,130630,130630,不适用
130405105,130405,130405,初中
130379104,130379,130379,不适用
130169431,130169,130169,高中/中专/技校/职高
130161105,130161,130161,大学本科
130384102,130384,130384,高中/中专/技校/职高
130161104,130161,130161,不适用
130405104,130405,130405,不适用
130161103,130161,130161,不适用
130421101,130421,130421,文盲/半文盲
130439103,140467,130439,初中
130439104,140467,130439,初中
130553104,130553,130553,小学
130558102,130558,130558,小学
130555105,130555,130555,小学
130462103,130462,130462,小学
130458104,130458,130458,初中
130462104,179422,130462,文盲/半文盲
130463103,130463,130463,小学
130465102,130465,130465,不适用
130606103,173431,473437,小学
130463104,130463,130463,初中
130588103,258885,130588,小学
130465103,130465,130465,不适用
130457104,130457,130457,高中/中专/技校/职高
130583104,130583,130583,小学
130471103,130471,130471,大学本科
130474104,130474,130474,小学
130474105,130474,130474,初中
130005103,100286,130005,文盲/半文盲
130008103,219043,130008,不适用
130012104,239068,130012,初中
130012103,159702,130012,高中/中专/技校/职高
130007104,130007,130007,小学
130010102,130010,130010,小学
130010101,130010,130010,文盲/半文盲
130006103,130006,130006,小学
130083105,130083,130083,初中
130077104,258409,130077,文盲/半文盲
130208105,130208,130208,高中/中专/技校/职高
130201101,130201,130201,高中/中专/技校/职高
130096104,1791051,130096,小学
130092101,130092,130092,大专
130085103,130085,130085,高中/中专/技校/职高
130096103,130096,130096,高中/中专/技校/职高
130052104,130052,130052,初中
130046105,130046,130046,初中
130093103,130093,130093,小学
130095104,130095,130095,初中
130092104,130092,130092,初中
130094103,100376,130094,没数据
130541102,130541,130541,初中
211321102,211321,211321,初中
130541103,130541,130541,不适用
130528103,130528,130528,高中/中专/技校/职高
130545102,179516,130545,初中
130534101,130534,130534,初中
130544104,130544,130544,初中
130535102,130535,130535,不适用
130098101,130098,130098,初中
130041103,130041,130041,高中/中专/技校/职高
130035104,130035,130035,不适用
130105105,277685,130105,小学
130049103,139751,130049,小学
130104103,130104,130104,初中
130110103,130110,130110,高中/中专/技校/职高
130036103,130036,130036,小学
130100103,198461,130100,初中
130100107,179111,130100,不适用
130036104,130036,130036,初中
130107104,130107,130107,初中
130041431,130041,130041,文盲/半文盲
130100106,179111,130100,初中
140099431,140099,140099,高中/中专/技校/职高
140093103,140093,140093,初中
140520102,140520,140520,小学
140532102,140532,140532,小学
140521104,140521,140521,初中
140090104,140090,140090,初中
140103104,140103,140103,初中
140089104,140089,140089,小学
140092104,140092,140092,大专
140515104,140515,140515,高中/中专/技校/职高
140540431,161104,140540,不适用
