fid14,tb1y_a_p
100051,1969
100051,1966
100051,1994
100125,1982
100160,1991
100286,1978
100376,1996
100435,1987
100435,2012
100453,2012
100453,1981
100453,1950
100453,1954
100453,1981
100551,1988
100569,1942
100569,1945
100724,1988
100724,2014
100765,1993
101129,1990
101129,1942
101129,1970
101129,1990
101129,2013
101130,1994
101288,1994
101439,1990
101571,1984
101571,1985
101571,2011
101698,1990
101797,1985
102492,1987
102492,2014
102888,1982
102888,1979
102992,1935
103614,1958
103671,1988
103671,1987
103766,1997
103788,1987
103788,1985
103924,缺失
103924,缺失
103924,1982
103924,2011
103924,1982
104088,1993
104521,1961
104521,1988
104645,1986
105179,1964
105179,1965
105179,1989
105179,1989
105492,缺失
105492,1981
105492,2014
106230,缺失
106230,缺失
106230,1993
106335,1982
106335,1982
106335,2005
106335,1958
106335,1956
106383,1942
106383,1960
106561,缺失
106561,2012
106561,1988
106601,1954
106601,1957
106632,1980
106632,1983
106761,缺失
106761,1990
106761,2013
106795,1985
107117,1982
107435,缺失
107435,2001
107513,1980
107513,1982
107530,1992
107580,1919
107624,1981
107624,2013
107624,1990
107643,1986
107643,2007
107824,1982
107824,1987
107824,2007
108037,1979
108037,1979
108037,1999
108142,1956
108165,1991
108211,1993
108211,1990
108211,2013
108244,1981
108244,2004
108244,1977
108466,1956
108476,1987
108598,1966
108598,1966
108789,1915
108908,1988
108979,1979
109137,1985
109137,缺失
109137,1959
109137,1958
109216,1987
109216,2012
109216,2010
109216,1987
109463,1983
109508,1988
109508,1990
109508,1990
109531,1997
109531,1999
109579,缺失
109579,1991
109606,1988
109606,1987
109615,缺失
109615,缺失
109615,1990
109615,1988
109615,2012
109657,1965
109764,1992
109783,1989
109791,1979
109791,1987
109791,2011
109949,1984
110002,1965
110002,1969
110002,1994
110003,1971
110003,1975
110003,1997
110005,1991
110005,1962
110005,1965
110005,1941
110006,1960
110006,1962
110006,1990
110009,1933
110009,1957
110009,1955
110009,1958
110009,1984
110009,1952
110009,1989
110011,1973
110011,1968
110011,1999
110011,2001
110011,2006
110013,1971
110013,1972
110013,1994
110015,1966
110015,1937
110015,1959
110015,1965
110015,1962
110015,1986
110015,1988
110015,缺失
110018,1991
110020,1945
110020,1940
110020,1968
110020,1970
110020,2001
110020,2006
110021,1935
110021,1940
110022,1978
110022,1976
110022,2001
110022,2009
110023,1976
110023,1945
110023,1981
110024,1936
110024,1936
110026,1977
110026,1973
110026,2005
110026,1944
110027,1938
110027,1937
110030,1950
110030,1948
110031,1959
110031,1959
110031,1992
110033,1965
110033,1936
110033,1938
110033,1968
110033,1994
110035,1953
110035,1953
110035,1930
110038,1953
110038,1931
110038,1934
110038,1957
110039,1988
110039,1987
110040,1971
110040,1973
110040,1991
110040,1990
110040,2013
110041,1968
110041,1965
110041,2001
110042,1954
110042,1958
110042,1983
110043,1960
110043,1973
110043,1985
110043,2002
110043,1926
110043,1974
110043,1994
110044,1949
110044,1946
110044,1979
110044,1971
110044,2011
110045,1932
110047,1956
110047,1977
110047,2003
110047,1989
110050,1931
110050,1981
110050,1980
110051,1961
110051,1932
110051,1960
110051,1986
110051,2013
110052,1960
110052,1939
110052,1959
110052,1986
110052,1988
110052,2014
110056,1928
110056,不适用
110056,不适用
110057,1950
110057,1949
110059,1986
110060,1947
110060,1950
110060,1980
110061,1931
110061,1960
110061,1995
110062,1958
110062,1959
110062,1987
110064,1980
110064,1984
110064,1958
110064,1951
110065,1984
110065,1984
110065,2008
110066,1945
110066,1943
110066,1967
110067,1986
110068,1986
110068,1962
110068,1989
110068,1962
110069,1951
110069,1950
110069,1979
110071,1950
110071,1947
110071,2009
110072,1948
110072,1948
110073,1933
110074,1948
110074,1950
110075,1969
110075,1970
110075,1972
110075,1977
110075,1992
110076,1960
110077,1967
110077,1970
110077,1995
110078,1969
110078,1939
110078,1939
110078,1974
110078,1999
110078,1988
110079,1968
110079,1973
110079,2000
110081,1952
110081,1955
110081,1981
110081,1929
110082,1954
110082,1957
110082,1995
110083,1949
110083,1950
110083,1978
110083,1979
110083,2011
110084,1958
110084,1958
110084,1987
110092,1938
110092,1959
110092,1963
110092,2002
110093,1984
110093,1980
110093,1954
110093,1953
110093,2011
110099,1978
110099,1981
110099,2004
110102,1931
110102,1955
110104,1960
110104,1958
110105,1982
110105,1985
110106,1977
110107,1962
110107,1960
110107,1987
110108,1958
110108,1958
110108,1983
110108,1984
110111,1953
110111,1953
110111,1981
110111,1978
110113,1954
110113,1953
110113,1980
110113,2012
110113,1982
110114,1953
110114,1956
110114,1996
110116,1956
110116,1954
110118,1934
110118,1938
110119,1944
110120,1960
110120,1959
110120,1984
110120,1985
110121,1919
110121,1956
110121,1953
110121,1995
110121,1927
110123,1933
110123,1937
110124,1980
110124,1984
110124,2011
110125,1953
110125,1954
110125,1933
110126,1953
110126,1953
110126,1982
110126,2014
110129,1981
110129,1978
110132,1951
110132,1928
110132,1979
110135,1987
110135,1957
110135,1963
110142,1925
110147,1982
110147,1982
110147,1983
110148,1938
110149,1964
110149,1963
110149,1988
110149,1988
110150,1985
110150,1985
110150,2014
110157,1974
110157,1971
110157,2011
110159,1979
110160,1958
110160,1957
110160,1985
110160,1986
110161,1981
110161,1980
110165,1972
110165,1970
110165,1999
110195,1993
110195,1996
110210,1976
110210,1972
110241,1983
110324,1984
110339,1986
110339,2012
110339,1986
110382,1986
110426,缺失
110426,1978
110426,1975
110426,2000
110434,1967
110434,1967
110434,1990
110434,1991
110434,2011
110493,1992
110493,1993
110494,1994
110519,缺失
110519,1990
110643,1975
110682,1979
110682,1978
110682,2008
110717,1979
110717,2013
110717,1981
110722,1993
110730,1955
110730,1981
110730,1984
110754,缺失
110754,1993
110754,2014
110900,1984
110900,1981
110901,1976
110901,1972
110901,1995
110901,2009
110901,2009
110935,1985
110935,1981
110935,2007
111013,缺失
111013,1988
111013,2013
111065,1990
111065,1960
111065,不知道
111203,1989
111229,1987
111229,2009
111229,1983
111251,1994
111535,1976
111630,1970
111630,1975
111732,1980
111752,1981
111752,1984
111752,2007
111752,2011
111790,1974
111790,1976
111790,1999
111790,2006
111820,1973
111820,1977
111823,1990
111921,1980
111921,1980
111927,1990
112225,1966
112255,1990
112285,1994
112323,1962
112323,1963
112323,1990
112323,1988
112446,1984
112492,1967
112492,1964
112492,1987
112492,1989
112526,1968
112526,1969
112526,1999
113012,1996
113207,1987
113207,2013
113207,1984
113332,1996
113415,1949
113415,1952
113526,1976
113526,1979
113526,1975
113526,1979
113539,1983
113539,2012
113603,1986
113603,1989
113604,1979
113798,1985
113956,1989
113956,1992
113956,2013
114120,1976
114379,1986
114536,1976
114882,1944
114900,1990
114900,2013
114900,1987
115139,缺失
115139,1970
115139,缺失
115139,1930
115212,1991
115235,1976
115235,1994
115235,2004
115395,1989
115395,2013
115398,1994
115554,1988
115554,1988
115554,2013
115650,1982
115650,1984
115650,2007
115733,1974
115733,1977
115733,1998
115788,2012
115788,1986
115788,1986
115961,缺失
115961,2012
115961,1986
115986,1990
115986,1992
115986,2013
116178,1975
116178,1977
116178,2000
116553,1986
116553,1990
116553,1983
117036,缺失
117036,缺失
117036,1987
117036,1992
117058,1982
117111,1988
117111,1991
117111,1990
117163,2012
117163,1987
117163,1991
117412,1993
117583,1970
117631,1993
117655,1988
117661,1983
117661,2005
117961,1993
118067,1987
118067,2014
118291,2011
118291,1987
118291,1988
118404,1984
118404,1988
118404,2014
118499,1944
118499,1947
119227,1974
119227,1973
119227,1998
119374,1980
119374,1981
119374,2003
119378,1961
119378,1960
119569,1985
119569,1986
119569,2014
119617,1995
119658,1982
120001,1979
120001,1975
120001,2004
120001,2012
120004,1946
120004,1947
120007,1980
120007,1977
120007,2006
120008,1964
120008,1965
120008,1988
120009,1964
120009,1991
120009,2001
120009,1973
120012,1980
120012,1981
120012,2006
120013,1977
120013,1945
120013,1946
120013,2002
120013,1978
120015,1955
120015,1955
120015,1982
120015,1993
120016,1986
120016,1986
120016,2007
120016,2010
120016,1962
120016,1963
120018,1980
120018,2003
120020,1964
120020,1965
120020,1990
120022,1983
120022,1981
120022,2009
120022,1959
120023,1961
120023,1960
120023,1986
120024,1948
120024,1947
120026,1972
120026,1972
120026,1997
120027,1949
120027,1949
120029,1983
120029,1980
120029,2008
120031,1958
120031,1957
120031,1989
120032,1981
120032,1976
120032,2004
120033,1953
120033,1954
120033,1990
120033,1991
120034,1955
120034,1982
120034,1988
120034,1957
120035,1972
120035,1977
120035,1999
120036,1940
120036,1943
120038,1979
120038,1980
120038,2007
120039,1983
120039,1982
120039,2009
120039,1960
120040,1978
120040,1979
120040,2003
120040,1952
120046,1956
120046,1956
120046,1990
120046,1989
120050,1966
120050,1971
120050,1993
120051,1959
120051,1958
120051,1995
120056,1970
120056,1967
120056,1991
120058,1962
120058,1962
120058,1998
120063,1980
120063,1978
120063,2004
120063,2007
120065,1936
120065,1933
120067,1959
120067,1958
120067,1995
120067,1982
120068,1958
120071,1975
120071,1973
120071,1999
120072,1972
120072,1979
120072,2001
120072,2009
120072,1955
120072,1953
120073,1953
120073,1954
120074,1953
120074,1952
120075,1953
120075,1952
120076,1945
120076,1949
120076,1979
120076,1978
120076,2005
120077,1964
120077,1963
120077,1990
120078,1943
120078,1943
120078,1982
120078,1982
120078,2004
120079,1951
120079,1948
120079,1973
120079,1996
120079,1977
120079,2000
120079,2007
120079,1976
120080,1963
120080,1965
120080,1987
120080,1989
120080,2011
120080,1990
120081,1935
120081,1967
120081,1968
120081,1991
120081,2007
120082,1982
120082,1952
120082,1958
120082,1981
120082,2003
120082,2008
120086,1977
120086,1950
120086,1977
120086,1999
120086,2008
120087,1991
120087,1958
120087,1957
120088,1984
120088,1953
120088,1985
120088,1951
120088,2007
120088,2009
120089,1988
120089,1956
120089,1958
120090,1966
120090,1967
120090,1990
120090,1994
120091,1960
120091,1958
120091,1993
120092,1963
120092,1963
120092,1986
120092,1989
120093,1974
120093,1974
120093,1947
120093,1946
120093,1998
120093,2009
120094,1946
120094,1949
120094,1994
120095,1978
120095,1979
120095,2001
120095,2011
120096,1952
120096,1953
120096,1980
120096,1981
120096,2002
120096,2007
120097,1988
120097,1966
120097,1965
120097,1937
120097,1938
120097,2012
120097,1988
120097,1990
120097,1964
120097,1963
120099,1956
120100,1964
120100,1964
120100,1989
120100,1990
120100,1997
120100,2010
120100,2014
120101,1975
120101,1976
120101,1997
120101,2007
120102,1958
120102,1950
120102,1987
120102,2012
120102,1990
120102,2014
120103,1980
120103,1952
120103,1978
120103,1952
120103,2002
120103,2011
120104,1954
120104,1980
120104,1982
120104,2011
120107,1965
120107,1965
120107,1988
120108,1971
120108,1977
120108,2009
120109,1986
120109,1958
120109,1959
120109,2014
120110,1960
120110,1959
120111,1962
120111,1963
120112,1986
120112,1986
120114,1963
120114,1953
120114,1924
120125,1956
120125,1982
120125,1987
120125,2010
120126,1943
120126,1938
120129,1969
120129,1968
120129,1993
120131,1972
120131,1970
120131,2000
120137,1933
120269,1956
120448,1991
120646,1991
120646,1993
120721,2013
120721,1986
120977,1977
120977,2003
120977,1975
121072,1988
122225,1990
122426,1973
122426,1971
122426,1998
122705,1990
122705,1991
122705,2014
122721,1956
122825,1936
123075,1988
123476,1989
123476,1987
123713,1984
123713,1985
123713,2013
123804,1992
123804,1990
123844,1957
124015,1998
124079,1987
124079,1986
124079,2013
125494,1937
125553,缺失
125553,1982
125553,1985
126144,1949
126144,1950
126162,1962
126162,1960
126162,1984
126162,1984
126162,2008
126186,缺失
126186,1990
126186,2014
126217,1963
126519,1979
126519,1981
126519,2009
126729,1986
127089,1958
127106,1980
127129,1983
127148,1988
127185,1985
127185,1985
127268,1976
127268,2001
127268,1977
127268,2006
127580,1989
127580,2011
127689,1989
127689,2008
127689,2010
127689,2011
127689,1965
127689,1989
127918,1990
128083,1987
128083,1987
128367,2012
128367,1987
128367,1987
128442,1979
128442,1976
128526,1995
128702,1994
128750,1988
128750,1990
128750,2012
128792,1987
128792,1988
128802,1985
128802,2014
128802,1984
128969,1991
128969,1995
128978,1985
128978,1989
128981,1995
129050,1988
129111,1977
129228,1984
129339,1987
129339,2013
129339,1985
129432,1992
129432,1992
129625,1983
129625,1987
129886,1981
129886,1983
129938,2013
129938,1967
129938,1970
129938,1986
129938,1988
129938,2008
129945,1988
129945,2011
130001,1955
130001,1956
130001,1980
130001,1972
130001,2008
130002,1969
130002,2003
130002,1990
130002,2014
130004,1974
130004,1973
130004,1999
130005,1950
130005,1954
130005,1978
130005,2005
130006,1957
130006,1950
130006,1979
130006,1978
130006,2002
130006,2012
130007,1960
130007,1960
130007,1984
130007,1986
130007,缺失
130008,1962
130008,1960
130008,1987
130008,1987
130010,1968
130010,1988
130010,1985
130010,1929
130010,1933
130011,1954
130011,1954
130011,1993
130011,1978
130011,2001
130011,2012
130011,1976
130012,1960
130012,1960
130012,1989
130012,1989
130012,1958
130013,1956
130013,1953
130013,1985
130013,1985
130015,1945
130015,1974
130015,1985
130015,2006
130017,1952
130017,1957
130017,1984
130017,1988
130017,2008
130019,1946
130019,1946
130019,1970
130019,1964
130019,2006
130020,1939
130020,1972
130020,1974
130020,1995
130020,2006
130021,1961
130021,1988
130021,1962
130022,1976
130022,1936
130022,1956
130022,1953
130022,1979
130022,2001
130022,2008
130023,1938
130023,1937
130023,1999
130024,1952
130024,1951
130024,1977
130024,1975
130024,1999
130024,2007
130027,1949
130027,1986
130027,1987
130027,2009
130027,1952
130027,2011
130028,1965
130028,1963
130028,1991
130028,1990
130028,2009
130029,1955
130029,1944
130029,1978
130029,1979
130029,2003
130029,2010
130030,1967
130030,1970
130030,1991
130030,2007
130030,2013
130030,1989
130032,1978
130032,1948
130032,1950
130032,1976
130032,2000
130032,2010
130034,1977
130034,1952
130034,1957
130034,1975
130034,1999
130034,2007
130035,1949
130035,1960
130035,1980
130035,1985
130035,2010
130036,1964
130036,1964
130036,1984
130036,1987
130036,2007
130036,1986
130036,1985
130036,2010
130036,2011
130036,2014
130037,1964
130037,1932
130037,1924
130037,1987
130037,1988
130037,1996
130037,2010
130037,1967
130037,2012
130039,1965
130039,1964
130039,1988
130039,2000
130040,1969
130040,1968
130040,1992
130040,2001
130040,1941
130041,1966
130041,1922
130041,1991
130041,1999
130041,1999
130041,1972
130042,1982
130042,1958
130042,1981
130042,2005
130042,1988
130042,2011
130045,1976
130045,1978
130045,2009
130046,1958
130046,1956
130046,1981
130046,1991
130046,1978
130046,2004
130046,2009
130049,1962
130049,1963
130049,1990
130050,1938
130051,1974
130051,1977
130051,2001
130051,2010
130052,1951
130052,1952
130052,1978
130052,1987
130053,1939
130053,1942
130054,1949
130054,1927
130054,1976
130054,2002
130054,1983
130054,1975
130055,1976
130055,1973
130055,1997
130055,2005
130056,1962
130056,1929
130056,1964
130056,1987
130056,1988
130056,2010
130057,1958
130057,1956
130057,1978
130057,1975
130057,2004
130057,2007
130058,1969
130058,1968
130058,1992
130058,2008
130058,1988
130058,2014
130059,1973
130059,1975
130059,1998
130059,2007
130059,1946
130060,1973
130060,1973
130060,2000
130062,1973
130062,1975
130062,2001
130062,2005
130062,1992
130062,2014
130063,1956
130063,1954
130063,1976
130063,1977
130063,2001
130063,2006
130063,2006
130064,1956
130064,1959
130065,1962
130065,1959
130065,1983
130065,1984
130065,2006
130065,2009
130066,1987
130066,1960
130066,1963
130066,1989
130066,2012
130067,1965
130067,1964
130067,1988
130067,1988
130067,2013
130068,1969
130068,1968
130068,1993
130068,1999
130068,1972
130068,2013
130068,1948
130068,1949
130069,1955
130069,1950
130069,1979
130069,1982
130069,2004
130070,1960
130070,1963
130070,1985
130070,2011
130070,1988
130070,2013
130071,1962
130071,1987
130071,1984
130071,2008
130072,1982
130072,1980
130072,2003
130072,2007
130073,1983
130073,1981
130073,2005
130073,2011
130073,1959
130073,1959
130073,2012
130074,1982
130074,1957
130074,1958
130074,1981
130074,2005
130074,2010
130075,1963
130075,1965
130075,1987
130075,1987
130075,2005
130075,2012
130076,1962
130076,1963
130076,1985
130076,1986
130076,1989
130076,1938
130076,1938
130077,1987
130077,1960
130077,1986
130077,1959
130077,2010
130077,1988
130078,1944
130078,1965
130078,1990
130078,1995
130078,1967
130078,1993
130079,1983
130079,1974
130079,1953
130080,1950
130080,1982
130080,1985
130080,2009
130082,1949
130082,1978
130083,1943
130083,1949
130083,1971
130083,1972
130083,1994
130083,2004
130083,2014
130085,1949
130085,1950
130085,1976
130085,1979
130085,2002
130085,2007
130086,1973
130086,1970
130086,1994
130086,2009
130086,1954
130089,1965
130089,1976
130089,1999
130090,1957
130090,1954
130092,1955
130092,1964
130092,1990
130092,1993
130093,1965
130093,1964
130093,1988
130093,1989
130093,2009
130093,1988
130093,2013
130094,1967
130094,1967
130094,1996
130094,1991
130094,2011
130094,1988
130095,1966
130095,1963
130095,1988
130095,1990
130095,2011
130096,1958
130096,1959
130096,1989
130096,1994
130097,1950
130097,1957
130097,1986
130098,1981
130098,1983
130098,2004
130099,1975
130099,1942
130099,1942
130099,1976
130099,2000
130099,2007
130100,1966
130100,1963
130100,1985
130100,1986
130100,2008
130100,1989
130100,1988
130101,1988
130101,1986
130101,2009
130101,2014
130102,1948
130102,1976
130102,2003
130103,1980
130103,1948
130103,1950
130103,1981
130103,2004
130103,2011
130104,1951
130104,1953
130104,1979
130104,1977
130104,1999
130104,2006
130105,1933
130105,1958
130105,1963
130105,1989
130106,1949
130106,1946
130107,1967
130107,1932
130107,1966
130107,1994
130107,缺失
130109,1973
130109,1937
130109,1943
130109,1990
130109,1972
130109,1995
130109,2010
130110,1946
130110,1946
130110,1973
130110,1997
130113,1936
130113,1965
130114,1951
130114,1952
130114,1985
130115,1962
130115,1965
130115,1993
130118,1934
130118,1970
130126,1982
130126,1981
130126,2005
130126,2009
130129,1971
130129,1971
130129,1998
130130,1940
130130,1937
130131,1971
130131,1973
130131,2000
130132,1963
130132,1960
130132,1989
130132,1997
130133,1978
130133,1983
130133,2005
130134,1988
130134,1986
130134,2011
130136,1957
130136,1990
130136,1969
130137,1952
130137,1959
130140,1979
130140,1979
130140,2003
130141,1951
130141,1944
130142,1953
130142,1954
130142,2002
130146,1949
130146,1955
130146,1979
130146,1977
130146,2003
130147,1974
130147,1971
130147,2002
130148,1955
130148,1989
130149,1961
130149,1987
130149,1963
130149,2012
130149,1986
130150,1969
130150,1967
130150,1991
130150,1992
130151,1976
130151,1978
130151,2000
130151,2005
130151,2012
130152,1964
130152,1963
130152,1987
130152,1988
130152,2014
130154,1949
130154,1975
130154,1975
130154,2006
130154,1998
130155,1965
130155,1964
130155,1987
130155,1989
130155,2012
130158,1956
130158,1988
130159,1951
130159,1950
130161,1957
130161,1954
130161,1982
130161,1981
130161,1987
130161,2006
130162,1963
130162,1964
130162,1988
130162,1990
130162,2012
130162,1990
130164,1962
130164,1987
130164,1956
130164,1987
130164,2010
130165,1975
130165,1969
130165,2003
130165,1997
130166,1939
130166,1936
130166,1963
130166,1964
130166,1989
130166,1986
130167,1955
130167,1955
130167,1979
130167,1985
130167,1988
130167,1988
130167,2013
130168,1966
130168,1966
130168,1989
130169,1944
130169,1946
130169,1972
130169,1979
130173,1950
130173,1953
130173,1978
130173,2004
130173,1977
130174,1935
130174,1953
130175,1960
130175,1985
130175,1988
130175,1958
130175,1989
130175,2014
130179,1949
130179,1946
130181,1938
130184,1973
130184,1969
130184,2000
130184,2006
130184,2009
130185,1971
130185,1975
130185,1999
130185,2005
130185,2008
130188,1946
130188,1938
130189,1974
130189,1968
130189,1998
130190,1952
130190,1955
130190,1983
130190,2007
130190,2007
130190,1982
